taxa_falsos_positivos,taxa_verdadeiros_positivos,threshold
0.00015524013060869656,0.7595846645367412,0.6023156454832935
0.00015524013060869656,0.7619808306709265,0.6006746995998614
0.00016041480162898644,0.7619808306709265,0.5916362639525402
0.00016041480162898644,0.7739616613418531,0.5392312676789827
0.00016558947264927633,0.7739616613418531,0.5362304615165805
0.00016558947264927633,0.7795527156549521,0.5245431719896159
0.00017076414366956621,0.7795527156549521,0.523057617874146
0.00017076414366956621,0.7803514376996805,0.518403135626572
0.0001759388146898561,0.7803514376996805,0.5181080548917432
0.0001759388146898561,0.7827476038338658,0.5124030098454305
0.00018111348571014598,0.7827476038338658,0.5114205845155319
0.00018111348571014598,0.792332268370607,0.47557616767396077
0.00019146282775072575,0.792332268370607,0.4674142487049943
0.00019146282775072575,0.7931309904153354,0.46689987079986894
0.00019663749877101564,0.7931309904153354,0.4631866287544385
0.00019663749877101564,0.7947284345047924,0.4581111978609977
0.00020181216979130553,0.7947284345047924,0.4496650770569455
0.00020181216979130553,0.7963258785942492,0.44870144496693
0.0002121615118318853,0.7963258785942492,0.4454310246186913
0.0002121615118318853,0.8003194888178914,0.43652105725758517
0.00021733618285217518,0.8003194888178914,0.43196487282820695
0.00021733618285217518,0.805111821086262,0.41767624212842647
0.00022768552489275495,0.805111821086262,0.412867711547666
0.00022768552489275495,0.8059105431309904,0.41093256779828213
0.00023286019591304484,0.8059105431309904,0.40875773602764665
0.00023286019591304484,0.8067092651757188,0.40733332216694834
0.00023286019591304484,0.8083067092651757,0.4043619674174505
0.00023286019591304484,0.8115015974440895,0.38952827047010974
0.00023803486693333472,0.8115015974440895,0.3874391878244146
0.00023803486693333472,0.8123003194888179,0.3867243557540436
0.00026390822203478415,0.8123003194888179,0.37287669779057336
0.00026390822203478415,0.8130990415335463,0.3726754538414325
0.00026908289305507403,0.8130990415335463,0.36575117959312764
0.00026908289305507403,0.8162939297124601,0.3619405891882707
0.0002794322350956538,0.8162939297124601,0.35504604648632315
0.0002794322350956538,0.8170926517571885,0.35444209087156103
0.0002846069061159437,0.8170926517571885,0.34611630567177587
0.0002846069061159437,0.8178913738019169,0.34512076822201804
0.00029495624815652346,0.8178913738019169,0.33679671675009193
0.00029495624815652346,0.8210862619808307,0.327611275157438
0.00030013091917681335,0.8210862619808307,0.3256944662165603
0.00030013091917681335,0.8226837060702875,0.3249907158403786
0.0003104802612173931,0.8226837060702875,0.3240386691804557
0.0003104802612173931,0.8250798722044729,0.3209171695221872
0.000315654932237683,0.8250798722044729,0.3206380057696972
0.000315654932237683,0.8282747603833865,0.30585832521005596
0.0003208296032579729,0.8282747603833865,0.3035620355471027
0.0003208296032579729,0.829073482428115,0.30058602534881956
0.00034152828733913243,0.829073482428115,0.2960645258740256
0.00034152828733913243,0.8298722044728435,0.29523359134948757
0.0003518776293797122,0.8298722044728435,0.29363087226860807
0.0003518776293797122,0.8306709265175719,0.2909747106902916
0.0003570523004000021,0.8306709265175719,0.28680610464240347
0.0003570523004000021,0.8314696485623003,0.28520089532981785
0.00036740164244058185,0.8314696485623003,0.28039334431603596
0.00036740164244058185,0.8322683706070287,0.2775634293827287
0.00037257631346087174,0.8322683706070287,0.27656870937637246
0.00037257631346087174,0.8330670926517572,0.2760694259863009
0.00037257631346087174,0.8346645367412141,0.2738009704378325
0.0003829256555014515,0.8346645367412141,0.2707631216850752
0.0003829256555014515,0.8354632587859425,0.2703620103619319
0.0003881003265217414,0.8354632587859425,0.26994922672734173
0.0003881003265217414,0.8362619808306709,0.2694090956044546
0.0004191483526434807,0.8362619808306709,0.2621633665388195
0.0004191483526434807,0.8378594249201278,0.2569790787966075
0.0004243230236637706,0.8378594249201278,0.2565999322612853
0.0004243230236637706,0.8410543130990416,0.25134541006025596
0.00043467236570435036,0.8410543130990416,0.24906785147795213
0.00043467236570435036,0.84185303514377,0.24459466903526766
0.00044502170774493013,0.84185303514377,0.243718840059008
0.00044502170774493013,0.8434504792332268,0.24233482356997899
0.000491593746927539,0.8434504792332268,0.22988268909445095
0.000491593746927539,0.8442492012779552,0.22863363169221973
0.0005122924310086986,0.8442492012779552,0.22199284058487714
0.0005122924310086986,0.8450479233226837,0.22149344772622814
0.0005433404571304379,0.8450479233226837,0.20774662232908614
0.0005433404571304379,0.8466453674121406,0.20535685881273028
0.0005485151281507278,0.8466453674121406,0.2012559877221712
0.0005485151281507278,0.8482428115015974,0.20045011636488325
0.0005950871673333368,0.8482428115015974,0.1950996427287927
0.0005950871673333368,0.8490415335463258,0.19446807076160816
0.0006106111803942065,0.8490415335463258,0.1888174719236645
0.0006106111803942065,0.8498402555910544,0.18804412044384877
0.0006209605224347862,0.8498402555910544,0.18603140575287183
0.0006209605224347862,0.8506389776357828,0.18601790882130526
0.0006727072326376851,0.8506389776357828,0.17920308088774325
0.0006727072326376851,0.8514376996805112,0.1790193837557374
0.0006778819036579749,0.8514376996805112,0.17788684454498577
0.0006778819036579749,0.8522364217252396,0.17753828379805212
0.0006882312456985547,0.8522364217252396,0.17533253600830428
0.0006882312456985547,0.8538338658146964,0.17492981221565868
0.0006985805877391345,0.8538338658146964,0.17314059418187078
