precision,recall,threshold
0.006448688629293117,1.0,8.03919231304117e-07
0.006448721844787712,1.0,8.062048018141701e-07
0.006448755060624478,1.0,8.076824037636695e-07
0.00644878827680342,1.0,8.095311774418575e-07
0.006448821493324542,1.0,8.101994467370267e-07
0.006448854710187852,1.0,8.102839002438773e-07
0.006448887927393351,1.0,8.120147909175244e-07
0.006448921144941048,1.0,8.158315076697154e-07
0.0064489543628309465,1.0,8.174406761734969e-07
0.0064489875810630525,1.0,8.181449490669869e-07
0.006449020799637372,1.0,8.222625401408583e-07
0.006449054018553908,1.0,8.223397050550953e-07
0.006449087237812667,1.0,8.232535159544686e-07
0.006449120457413656,1.0,8.247412241400544e-07
0.006449153677356877,1.0,8.269966868383089e-07
0.006449186897642338,1.0,8.273057312592835e-07
0.006449220118270043,1.0,8.274217189570761e-07
0.0064492533392399975,1.0,8.278831413948451e-07
0.006449286560552207,1.0,8.282882398385934e-07
0.006449319782206677,1.0,8.283326828769378e-07
0.0064493530042034125,1.0,8.290966159724883e-07
0.006449386226542418,1.0,8.294138278508442e-07
0.0064494194492237,1.0,8.302389468611455e-07
0.0064494526722472635,1.0,8.308467263125618e-07
0.006449485895613114,1.0,8.312174230230826e-07
0.006449519119321255,1.0,8.313999980251743e-07
0.006449552343371694,1.0,8.322595126325684e-07
0.006449585567764435,1.0,8.329711084078507e-07
0.006449618792499485,1.0,8.336206962247325e-07
0.006449652017576847,1.0,8.34946768627866e-07
0.0064496852429965276,1.0,8.355583034512124e-07
0.006449718468758532,1.0,8.390783613378268e-07
0.006449751694862865,1.0,8.392282652095687e-07
0.006449784921309533,1.0,8.395419235638502e-07
0.00644981814809854,1.0,8.403976372393041e-07
0.006449851375229892,1.0,8.409586871628674e-07
0.006449884602703594,1.0,8.41344754590466e-07
0.006449917830519651,1.0,8.424087981438031e-07
0.006449951058678069,1.0,8.430631546565855e-07
0.006449984287178853,1.0,8.44363427675266e-07
0.006450017516022009,1.0,8.448501409226608e-07
0.00645005074520754,1.0,8.456116774062218e-07
0.0064500839747354535,1.0,8.465679905639939e-07
0.006450117204605754,1.0,8.472240747545537e-07
0.006450150434818448,1.0,8.51208523211376e-07
0.006450183665373539,1.0,8.521527789447554e-07
0.006450216896271033,1.0,8.543375237248495e-07
0.006450250127510935,1.0,8.573461303840145e-07
0.006450283359093251,1.0,8.57614462555814e-07
0.006450316591017986,1.0,8.619190329375108e-07
0.006450349823285144,1.0,8.619363841595776e-07
0.006450383055894733,1.0,8.621988381455324e-07
0.006450416288846756,1.0,8.624427786419696e-07
0.00645044952214122,1.0,8.626361669914487e-07
0.006450482755778128,1.0,8.629444197445117e-07
0.006450515989757487,1.0,8.631024458966991e-07
0.006450549224079303,1.0,8.6499252663704e-07
0.006450582458743579,1.0,8.65065899553119e-07
0.006450615693750322,1.0,8.674692608690088e-07
0.006450648929099537,1.0,8.680993191553846e-07
0.0064506821647912285,1.0,8.685492070994623e-07
0.006450715400825403,1.0,8.696888802472467e-07
0.0064507486372020655,1.0,8.700826803345067e-07
0.00645078187392122,1.0,8.722029000246018e-07
0.006450815110982873,1.0,8.725578336855659e-07
0.0064508483483870305,1.0,8.738015877965349e-07
0.006450881586133696,1.0,8.741666587388971e-07
0.006450914824222876,1.0,8.747818140321437e-07
0.006450948062654576,1.0,8.751064986573116e-07
0.006450981301428799,1.0,8.7594968396955e-07
0.006451014540545554,1.0,8.765104440926852e-07
0.006451047780004843,1.0,8.78239791434103e-07
0.006451081019806674,1.0,8.790489667930762e-07
0.00645111425995105,1.0,8.79392027181975e-07
0.0064511475004379775,1.0,8.796854354504956e-07
0.006451180741267461,1.0,8.800888557700597e-07
0.006451213982439507,1.0,8.807659560667212e-07
0.00645124722395412,1.0,8.812960578283725e-07
0.0064512804658113055,1.0,8.814343815380885e-07
0.006451313708011068,1.0,8.814628825877273e-07
0.006451346950553414,1.0,8.820211314722619e-07
0.006451380193438348,1.0,8.825216686050792e-07
0.006451413436665877,1.0,8.832558690425737e-07
0.006451446680236003,1.0,8.841259658618083e-07
0.0064514799241487345,1.0,8.843001334561071e-07
0.006451513168404075,1.0,8.859748874197105e-07
0.00645154641300203,1.0,8.863128046410997e-07
0.006451579657942606,1.0,8.864855893516326e-07
0.0064516129032258064,1.0,8.873596081696231e-07
0.006451646148851638,1.0,8.888326987002165e-07
0.0064516793948201055,1.0,8.889784917214718e-07
0.006451712641131214,1.0,8.896578891592354e-07
0.00645174588778497,1.0,8.897964885388464e-07
0.0064517791347813765,1.0,8.908867351005586e-07
0.006451812382120441,1.0,8.912731074725326e-07
0.006451845629802167,1.0,8.92609492557494e-07
0.006451878877826562,1.0,8.929912933523367e-07
0.006451912126193629,1.0,8.943335234660195e-07
0.0064519453749033754,1.0,8.945665468387758e-07
0.006451978623955805,1.0,8.955439535409247e-07
0.006452011873350923,1.0,8.962407734273276e-07
0.006452045123088736,1.0,8.964893342793064e-07
0.006452078373169249,1.0,8.967079646184818e-07
0.006452111623592466,1.0,8.975985699865175e-07
0.006452144874358393,1.0,8.976892035782234e-07
0.0064521781254670355,1.0,8.977891713867476e-07
0.0064522113769183995,1.0,8.978375242754069e-07
0.0064522446287124885,1.0,8.987480577931249e-07
0.0064522778808493095,1.0,8.995747157106439e-07
0.006452311133328867,1.0,9.008556488339927e-07
0.006452344386151166,1.0,9.028512434078255e-07
0.006452377639316213,1.0,9.036135410299226e-07
0.006452410892824012,1.0,9.052017227454749e-07
0.006452444146674569,1.0,9.063213290818131e-07
0.006452477400867889,1.0,9.073255970212618e-07
0.0064525106554039775,1.0,9.074112215631514e-07
0.00645254391028284,1.0,9.08514909709254e-07
0.006452577165504481,1.0,9.094845551507914e-07
0.006452610421068907,1.0,9.106590501372255e-07
0.006452643676976122,1.0,9.120831761066356e-07
0.006452676933226133,1.0,9.120913094534317e-07
0.006452710189818943,1.0,9.150253655428406e-07
0.006452743446754559,1.0,9.157025390439567e-07
0.006452776704032985,1.0,9.181340218709286e-07
0.006452809961654228,1.0,9.184794902763121e-07
0.006452843219618293,1.0,9.188392837848755e-07
0.0064528764779251836,1.0,9.19934887627035e-07
0.006452909736574907,1.0,9.208994154075055e-07
0.006452942995567468,1.0,9.218475950649604e-07
0.0064529762549028705,1.0,9.221833213430634e-07
0.006453009514581122,1.0,9.228106009964722e-07
0.006453042774602225,1.0,9.233610726777188e-07
